DATE,RATE
2004-02-02,105.591613
2004-02-03,105.490032
2004-02-04,105.450351
2004-02-05,105.657871
2004-02-06,105.922426
2004-02-07,106.034982
2004-02-08,106.034982
2004-02-09,105.716838
2004-02-10,105.49295
2004-02-11,105.441279
2004-02-12,105.428079
2004-02-13,105.447369
2004-02-14,105.371185
2004-02-15,105.371185
2004-02-16,105.468202
2004-02-17,105.669641
2004-02-18,106.312283
2004-02-19,107.01267
2004-02-20,108.542136
2004-02-21,108.486285
2004-02-22,108.486285
2004-02-23,108.371174
2004-02-24,108.206187
2004-02-25,108.887851
2004-02-26,109.617788
2004-02-27,109.216471
2004-02-28,109.195398
2004-02-29,109.195398
2004-03-01,109.030456
2004-03-02,109.952727
2004-03-03,110.16971
2004-03-04,110.842378
2004-03-05,111.542181
2004-03-06,111.560271
2004-03-07,111.560271
2004-03-08,111.796423
2004-03-09,111.326854
2004-03-10,110.866798
2004-03-11,110.796857
2004-03-12,111.030263
2004-03-13,111.071934
2004-03-14,111.071934
2004-03-15,110.525517
2004-03-16,109.006359
2004-03-17,108.267952
2004-03-18,106.787883
2004-03-19,106.880901
2004-03-20,106.829062
2004-03-21,106.829062
2004-03-22,106.863292
2004-03-23,106.759485
2004-03-24,106.257966
2004-03-25,106.080407
2004-03-26,105.822309
2004-03-27,105.783812
2004-03-28,105.783812
2004-03-29,105.586381
2004-03-30,105.700437
2004-03-31,104.136555
2004-04-01,103.738055
2004-04-02,104.359244
2004-04-03,104.131749
2004-04-04,104.131749
2004-04-05,105.019095
2004-04-06,105.897705
2004-04-07,105.430445
2004-04-08,106.155987
2004-04-09,106.382652
2004-04-10,106.197956
2004-04-11,106.197956
2004-04-12,105.563345
2004-04-13,106.494029
2004-04-14,108.347382
2004-04-15,108.510879
2004-04-16,107.996065
2004-04-17,108.14096
2004-04-18,108.14096
2004-04-19,108.256661
2004-04-20,108.2903
2004-04-21,109.542569
2004-04-22,109.625942
2004-04-23,109.145011
2004-04-24,109.027098
2004-04-25,109.027098
2004-04-26,108.699147
2004-04-27,109.568109
2004-04-28,109.672107
2004-04-29,110.204198
2004-04-30,110.36639
2004-05-01,110.316383
2004-05-02,110.316383
2004-05-03,110.220169
2004-05-04,109.849802
2004-05-05,108.679184
2004-05-06,109.606838
2004-05-07,111.622373
2004-05-08,111.359037
2004-05-09,111.359037
2004-05-10,113.714489
2004-05-11,113.470762
2004-05-12,113.179729
2004-05-13,114.368045
2004-05-14,114.462406
2004-05-15,114.491628
2004-05-16,114.491628
2004-05-17,114.036505
2004-05-18,114.011767
2004-05-19,112.798493
2004-05-20,113.025973
2004-05-21,112.099404
2004-05-22,112.130352
2004-05-23,112.130352
2004-05-24,112.62618
2004-05-25,112.262565
2004-05-26,111.666272
2004-05-27,111.075638
2004-05-28,110.49502
2004-05-29,110.561223
2004-05-30,110.561223
2004-05-31,109.457776
2004-06-01,110.191328
2004-06-02,110.278382
2004-06-03,111.135751
2004-06-04,111.188869
2004-06-05,111.127756
2004-06-06,111.127756
2004-06-07,109.728285
2004-06-08,109.784167
2004-06-09,109.752761
2004-06-10,109.307895
2004-06-11,109.984932
2004-06-12,109.696446
2004-06-13,109.696446
2004-06-14,111.183989
2004-06-15,110.137098
2004-06-16,110.053887
2004-06-17,109.532252
2004-06-18,108.874967
2004-06-19,108.915173
2004-06-20,108.915173
2004-06-21,108.554517
2004-06-22,108.91832
2004-06-23,108.711195
2004-06-24,107.300272
2004-06-25,107.745467
2004-06-26,107.718163
2004-06-27,107.718163
2004-06-28,107.90016
2004-06-29,108.292538
2004-06-30,109.029129
2004-07-01,108.207665
2004-07-02,108.717807
2004-07-03,108.764529
2004-07-04,108.764529
2004-07-05,108.916995
2004-07-06,109.295684
2004-07-07,108.418055
2004-07-08,108.860233
2004-07-09,108.34429
2004-07-10,108.364091
2004-07-11,108.364091
2004-07-12,108.218438
2004-07-13,108.743555
2004-07-14,108.987747
2004-07-15,109.457521
2004-07-16,109.063725
2004-07-17,109.140183
2004-07-18,109.140183
2004-07-19,108.211706
2004-07-20,108.504343
2004-07-21,109.655222
2004-07-22,109.638382
2004-07-23,110.041409
2004-07-24,110.049265
2004-07-25,110.049265
2004-07-26,109.829601
2004-07-27,110.550708
2004-07-28,111.639914
2004-07-29,112.122244
2004-07-30,111.390369
2004-07-31,111.348728
2004-08-01,111.348728
2004-08-02,111.029692
2004-08-03,110.685619
2004-08-04,111.333173
2004-08-05,111.540913
2004-08-06,110.764984
2004-08-07,110.981738
2004-08-08,110.981738
2004-08-09,110.67958
2004-08-10,111.01108
2004-08-11,110.912056
2004-08-12,110.922529
2004-08-13,111.05916
2004-08-14,111.16537
2004-08-15,111.16537
2004-08-16,110.646831
2004-08-17,110.256358
2004-08-18,109.661568
2004-08-19,109.402485
2004-08-20,109.38005
2004-08-21,109.396837
2004-08-22,109.396837
2004-08-23,109.602257
2004-08-24,109.591386
2004-08-25,110.25701
2004-08-26,109.697606
2004-08-27,109.567718
2004-08-28,109.586667
2004-08-29,109.586667
2004-08-30,109.888005
